fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#0000FF	0.574981711777615	0.997820163487738	xgboost 1 57	xgboost	xgboost	57
#0000FF	0.584979273347964	0.998365122615804	xgboost 1 58	xgboost	xgboost	58
#0000FF	0.594976834918313	0.998365122615804	xgboost 1 59	xgboost	xgboost	59
#0000FF	0.604974396488661	0.998365122615804	xgboost 1 60	xgboost	xgboost	60
#0000FF	0.61497195805901	0.998365122615804	xgboost 1 61	xgboost	xgboost	61
#0000FF	0.624969519629359	0.998365122615804	xgboost 1 62	xgboost	xgboost	62
#0000FF	0.634967081199707	0.998910081743869	xgboost 1 63	xgboost	xgboost	63
#0000FF	0.644964642770056	0.998910081743869	xgboost 1 64	xgboost	xgboost	64
#0000FF	0.654962204340405	0.998910081743869	xgboost 1 65	xgboost	xgboost	65
#0000FF	0.664959765910754	0.999455040871935	xgboost 1 66	xgboost	xgboost	66
#0000FF	0.674957327481102	0.999455040871935	xgboost 1 67	xgboost	xgboost	67
#0000FF	0.684954889051451	0.999455040871935	xgboost 1 68	xgboost	xgboost	68
#0000FF	0.6949524506218	0.999455040871935	xgboost 1 69	xgboost	xgboost	69
#0000FF	0.704950012192148	1	xgboost 1 70	xgboost	xgboost	70
#0000FF	0.714947573762497	1	xgboost 1 71	xgboost	xgboost	71
#0000FF	0.724945135332846	1	xgboost 1 72	xgboost	xgboost	72
#0000FF	0.734942696903194	1	xgboost 1 73	xgboost	xgboost	73
#0000FF	0.744940258473543	1	xgboost 1 74	xgboost	xgboost	74
#0000FF	0.754937820043892	1	xgboost 1 75	xgboost	xgboost	75
#0000FF	0.764935381614241	1	xgboost 1 76	xgboost	xgboost	76
#0000FF	0.774932943184589	1	xgboost 1 77	xgboost	xgboost	77
#0000FF	0.784930504754938	1	xgboost 1 78	xgboost	xgboost	78
#0000FF	0.794928066325287	1	xgboost 1 79	xgboost	xgboost	79
#0000FF	0.804925627895635	1	xgboost 1 80	xgboost	xgboost	80
#0000FF	0.814923189465984	1	xgboost 1 81	xgboost	xgboost	81
#0000FF	0.824920751036333	1	xgboost 1 82	xgboost	xgboost	82
#0000FF	0.834918312606681	1	xgboost 1 83	xgboost	xgboost	83
#0000FF	0.84491587417703	1	xgboost 1 84	xgboost	xgboost	84
#0000FF	0.854913435747379	1	xgboost 1 85	xgboost	xgboost	85
#0000FF	0.864910997317727	1	xgboost 1 86	xgboost	xgboost	86
#0000FF	0.874908558888076	1	xgboost 1 87	xgboost	xgboost	87
#0000FF	0.88478419897586	1	xgboost 1 88	xgboost	xgboost	88
