linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#4D4D4D	#0000FF	0.5	1.5	0	12	xgboost 1 positive	error	positive	xgboost	46	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6224	10037	xgboost 1 negative	error	negative	xgboost	46	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	12	xgboost 1 positive	error	positive	xgboost	47	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6142	10037	xgboost 1 negative	error	negative	xgboost	47	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	11	xgboost 1 positive	error	positive	xgboost	48	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6060	10037	xgboost 1 negative	error	negative	xgboost	48	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	11	xgboost 1 positive	error	positive	xgboost	49	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5978	10037	xgboost 1 negative	error	negative	xgboost	49	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	10	xgboost 1 positive	error	positive	xgboost	50	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5895	10037	xgboost 1 negative	error	negative	xgboost	50	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	9	xgboost 1 positive	error	positive	xgboost	51	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5813	10037	xgboost 1 negative	error	negative	xgboost	51	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	7	xgboost 1 positive	error	positive	xgboost	52	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5731	10037	xgboost 1 negative	error	negative	xgboost	52	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	5	xgboost 1 positive	error	positive	xgboost	53	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5649	10037	xgboost 1 negative	error	negative	xgboost	53	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	5	xgboost 1 positive	error	positive	xgboost	54	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5567	10037	xgboost 1 negative	error	negative	xgboost	54	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	4	xgboost 1 positive	error	positive	xgboost	55	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5485	10037	xgboost 1 negative	error	negative	xgboost	55	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	4	xgboost 1 positive	error	positive	xgboost	56	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5403	10037	xgboost 1 negative	error	negative	xgboost	56	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	4	xgboost 1 positive	error	positive	xgboost	57	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5321	10037	xgboost 1 negative	error	negative	xgboost	57	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	3	xgboost 1 positive	error	positive	xgboost	58	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5239	10037	xgboost 1 negative	error	negative	xgboost	58	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	3	xgboost 1 positive	error	positive	xgboost	59	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5157	10037	xgboost 1 negative	error	negative	xgboost	59	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	3	xgboost 1 positive	error	positive	xgboost	60	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	5075	10037	xgboost 1 negative	error	negative	xgboost	60	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	3	xgboost 1 positive	error	positive	xgboost	61	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4993	10037	xgboost 1 negative	error	negative	xgboost	61	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	3	xgboost 1 positive	error	positive	xgboost	62	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4911	10037	xgboost 1 negative	error	negative	xgboost	62	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	2	xgboost 1 positive	error	positive	xgboost	63	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4829	10037	xgboost 1 negative	error	negative	xgboost	63	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	2	xgboost 1 positive	error	positive	xgboost	64	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4747	10037	xgboost 1 negative	error	negative	xgboost	64	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	2	xgboost 1 positive	error	positive	xgboost	65	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4665	10037	xgboost 1 negative	error	negative	xgboost	65	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	1	xgboost 1 positive	error	positive	xgboost	66	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4583	10037	xgboost 1 negative	error	negative	xgboost	66	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	1	xgboost 1 positive	error	positive	xgboost	67	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4501	10037	xgboost 1 negative	error	negative	xgboost	67	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	1	xgboost 1 positive	error	positive	xgboost	68	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4419	10037	xgboost 1 negative	error	negative	xgboost	68	xgboost	1
